area_name,indicator_name,score_2019
Taiwan,Confidence in local police,0.883667635
Tajikistan,Confidence in local police,0.631673913
Tanzania,Confidence in local police,0.498126082
Thailand,Confidence in local police,0.418833414
The Gambia,Confidence in local police,0.604
Togo,Confidence in local police,0.997053582
Trinidad and Tobago,Confidence in local police,0.776052762
Tunisia,Confidence in local police,0.906666667
Turkey,Confidence in local police,1
Turkmenistan,Confidence in local police,0.906666667
Uganda,Confidence in local police,0.9125
Ukraine,Confidence in local police,0.658509827
United Arab Emirates,Confidence in local police,0.592955034
United Kingdom,Confidence in local police,0.586206897
United States,Confidence in local police,0.567438254
Uruguay,Confidence in local police,0.706666667
Uzbekistan,Confidence in local police,0.556936732
Venezuela,Confidence in local police,0.875
Vietnam,Confidence in local police,0.700469812
Yemen,Confidence in local police,1
Zambia,Confidence in local police,0.86677103
Zimbabwe,Confidence in local police,0.62607038
Afghanistan,Confidence in military,0.72926569
Albania,Confidence in military,0.666666667
Algeria,Confidence in military,0.555555556
Angola,Confidence in military,0.47816092
Argentina,Confidence in military,0.8
Armenia,Confidence in military,0.589560191
Australia,Confidence in military,0.770581382
Austria,Confidence in military,0.831666667
Azerbaijan,Confidence in military,0.695208629
Bahrain,Confidence in military,1
Bangladesh,Confidence in military,0.25
Belarus,Confidence in military,0.767317414
Belgium,Confidence in military,0.308
Belize,Confidence in military,0.907
Benin,Confidence in military,1
Bolivia,Confidence in military,1
Bosnia and Herzegovina,Confidence in military,0.698749602
Botswana,Confidence in military,0.998834303
Brazil,Confidence in military,1
Bulgaria,Confidence in military,1
Burkina Faso,Confidence in military,0.995906483
Burundi,Confidence in military,0.992065772
Cabo Verde,Confidence in military,0.74
Cambodia,Confidence in military,0.959764779
Cameroon,Confidence in military,0.747368421
Canada,Confidence in military,0.67323539
Central African Republic,Confidence in military,0.668087393
Chad,Confidence in military,0.653765917
Chile,Confidence in military,0.670053405
China,Confidence in military,0.354676994
Colombia,Confidence in military,0.994
Comoros,Confidence in military,0.992561105
Congo,Confidence in military,0.981632653
Costa Rica,Confidence in military,0.936
Croatia,Confidence in military,0.895504253
Cuba,Confidence in military,0.670865461
Cyprus,Confidence in military,0.99137931
Czechia,Confidence in military,0.986509275
C�te d'Ivoire,Confidence in military,0.988461538
Democratic Republic of Congo,Confidence in military,0.612449184
Denmark,Confidence in military,0.845526174
Djibouti,Confidence in military,0.665934121
Dominican Republic,Confidence in military,0.806422053
Ecuador,Confidence in military,0.922614274
Egypt,Confidence in military,0.739432431
El Salvador,Confidence in military,1
Equatorial Guinea,Confidence in military,0.989732498
Eritrea,Confidence in military,0.524074765
Estonia,Confidence in military,0.625850286
Eswatini,Confidence in military,0.491729238
Ethiopia,Confidence in military,0.869259259
Finland,Confidence in military,0.721797453
France,Confidence in military,0.516811856
Gabon,Confidence in military,0.823274869
Georgia,Confidence in military,0.85277076
Germany,Confidence in military,0.99701791
Ghana,Confidence in military,0.925177519
Greece,Confidence in military,0.751415571
Guatemala,Confidence in military,0.634386957
Guinea,Confidence in military,1
Guinea-Bissau,Confidence in military,0.109540902
Guyana,Confidence in military,0.810708284
Haiti,Confidence in military,1
Honduras,Confidence in military,1
Hong Kong,Confidence in military,0.533796804
Hungary,Confidence in military,0.966412798
Iceland,Confidence in military,0.850666667
India,Confidence in military,0.760500917
Indonesia,Confidence in military,0.418563668
Iran,Confidence in military,0.857142857
Iraq,Confidence in military,0.836806138
Ireland,Confidence in military,0.55205554
Israel,Confidence in military,0.267316172
Italy,Confidence in military,0.633399884
Jamaica,Confidence in military,0.720538108
Japan,Confidence in military,0.56279915
Jordan,Confidence in military,0.643747807
Kazakhstan,Confidence in military,0.023296137
Kenya,Confidence in military,0.346400389
Kuwait,Confidence in military,0.532701596
Kyrgyzstan,Confidence in military,0.681203449
Laos,Confidence in military,0.792186031
Latvia,Confidence in military,0.604809547
Lebanon,Confidence in military,0.624595457
Lesotho,Confidence in military,0.763979377
Liberia,Confidence in military,0.892789152
Libya,Confidence in military,0.305399766
Lithuania,Confidence in military,0.49
Luxembourg,Confidence in military,0.242569251
Madagascar,Confidence in military,0.498554096
Malawi,Confidence in military,0.960045198
Malaysia,Confidence in military,0.807014595
Mali,Confidence in military,0.570270771
Malta,Confidence in military,0.844975833
Mauritania,Confidence in military,0.343546883
Mauritius,Confidence in military,0.599
Mexico,Confidence in military,0.4618
Moldova,Confidence in military,0.000123
Mongolia,Confidence in military,0.626401101
Montenegro,Confidence in military,0.92
Morocco,Confidence in military,0.3108937
Mozambique,Confidence in military,0.360156206
Myanmar,Confidence in military,0.336262804
Namibia,Confidence in military,0.350174782
Nepal,Confidence in military,0.581247728
Netherlands,Confidence in military,0.827805643
New Zealand,Confidence in military,0.654761905
Nicaragua,Confidence in military,0.666666667
Niger,Confidence in military,0.499172619
Nigeria,Confidence in military,0.545454545
North Macedonia,Confidence in military,0.603279084
Norway,Confidence in military,0.826916205
Oman,Confidence in military,0.827173913
Pakistan,Confidence in military,1
Panama,Confidence in military,0.654017857
Papua New Guinea,Confidence in military,0.9375
Paraguay,Confidence in military,0.76056338
Peru,Confidence in military,0.75
Philippines,Confidence in military,0.904
Poland,Confidence in military,0.672568727
Portugal,Confidence in military,1
Qatar,Confidence in military,0.726
Romania,Confidence in military,0.713546583
Russia,Confidence in military,1
Rwanda,Confidence in military,1
Saudi Arabia,Confidence in military,0.77173913
Senegal,Confidence in military,0.785068493
Serbia,Confidence in military,0.641304348
Seychelles,Confidence in military,0.646153846
Sierra Leone,Confidence in military,0.615384615
Singapore,Confidence in military,1
Slovakia,Confidence in military,1
Slovenia,Confidence in military,0.5
Somalia,Confidence in military,0.833333333
South Africa,Confidence in military,0.5
South Korea,Confidence in military,0.52052323
South Sudan,Confidence in military,0.700437546
Spain,Confidence in military,0.716666667
Sri Lanka,Confidence in military,0.091540258
Sudan,Confidence in military,0.986434405
Suriname,Confidence in military,0.83050309
Sweden,Confidence in military,0.907454104
Switzerland,Confidence in military,0.276461021
Syria,Confidence in military,0.688107205
S�o Tom� and Pr�ncipe,Confidence in military,0.25
Taiwan,Confidence in military,0.411111111
Tajikistan,Confidence in military,1
Tanzania,Confidence in military,1
Thailand,Confidence in military,1
The Gambia,Confidence in military,0.737118461
Togo,Confidence in military,1
Trinidad and Tobago,Confidence in military,0.3
Tunisia,Confidence in military,0.325
Turkey,Confidence in military,0.177777778
Turkmenistan,Confidence in military,0.4653
Uganda,Confidence in military,0.333333333
Ukraine,Confidence in military,0.24
United Arab Emirates,Confidence in military,0.4875
United Kingdom,Confidence in military,0.529411765
United States,Confidence in military,0.33
Uruguay,Confidence in military,0.339189013
Uzbekistan,Confidence in military,0.20046418
Venezuela,Confidence in military,0.626666667
Vietnam,Confidence in military,0.781818182
Yemen,Confidence in military,0.842857143
Zambia,Confidence in military,0.2
Zimbabwe,Confidence in military,0.692307692
Afghanistan,Confidence in national government,0.909090909
Albania,Confidence in national government,0.663067288
Algeria,Confidence in national government,0.353595213
Angola,Confidence in national government,0.82576477
Argentina,Confidence in national government,0.8
Armenia,Confidence in national government,0.934887888
Australia,Confidence in national government,0.231588235
Austria,Confidence in national government,0.45558
Azerbaijan,Confidence in national government,0.927214537
Bahrain,Confidence in national government,0.737625027
Bangladesh,Confidence in national government,0.724420013
Belarus,Confidence in national government,0.61183933
Belgium,Confidence in national government,0.478744464
Belize,Confidence in national government,0.54161393
Benin,Confidence in national government,0.757385739
Bolivia,Confidence in national government,0.733630356
Bosnia and Herzegovina,Confidence in national government,0.824134325
Botswana,Confidence in national government,0.744702571
Brazil,Confidence in national government,0.946317601
Bulgaria,Confidence in national government,0.643967147
Burkina Faso,Confidence in national government,0.939056015
Burundi,Confidence in national government,0.59090911
Cabo Verde,Confidence in national government,0.820422502
Cambodia,Confidence in national government,0.51985119
Cameroon,Confidence in national government,0.642758621
Canada,Confidence in national government,0.528212511
Central African Republic,Confidence in national government,1
Chad,Confidence in national government,0.6
Chile,Confidence in national government,0.901509938
China,Confidence in national government,0.4375
Colombia,Confidence in national government,0.9316087
Comoros,Confidence in national government,0.812586667
Congo,Confidence in national government,0.721902688
Costa Rica,Confidence in national government,0.122967768
Croatia,Confidence in national government,0.520560655
Cuba,Confidence in national government,0.600339157
Cyprus,Confidence in national government,0.722143469
Czechia,Confidence in national government,0.510067406
C�te d'Ivoire,Confidence in national government,0.688
Democratic Republic of Congo,Confidence in national government,0.71954453
Denmark,Confidence in national government,0.54525
Djibouti,Confidence in national government,0.811266238
Dominican Republic,Confidence in national government,0.835927886
Ecuador,Confidence in national government,0.67905179
Egypt,Confidence in national government,0.666666667
El Salvador,Confidence in national government,0.724791527
Equatorial Guinea,Confidence in national government,0.555555556
Eritrea,Confidence in national government,0.641739256
Estonia,Confidence in national government,0.917125
Eswatini,Confidence in national government,0.954
Ethiopia,Confidence in national government,0.555555556
Finland,Confidence in national government,0.694452214
France,Confidence in national government,0.584530477
Gabon,Confidence in national government,1
Georgia,Confidence in national government,0.704101699
Germany,Confidence in national government,0.46504661
Ghana,Confidence in national government,0.414986109
Greece,Confidence in national government,0.334122319
Guatemala,Confidence in national government,0.495427189
Guinea,Confidence in national government,0.310221483
Guinea-Bissau,Confidence in national government,0.5
Guyana,Confidence in national government,0.244384422
Haiti,Confidence in national government,0.595959584
Honduras,Confidence in national government,0.555555556
Hong Kong,Confidence in national government,0.58438164
Hungary,Confidence in national government,0.444444444
Iceland,Confidence in national government,0.555555556
India,Confidence in national government,0.444444444
Indonesia,Confidence in national government,0.444444444
Iran,Confidence in national government,0.13
Iraq,Confidence in national government,0.522819599
Ireland,Confidence in national government,0.454833374
Israel,Confidence in national government,0.556011362
Italy,Confidence in national government,0.580073118
Jamaica,Confidence in national government,0.545819274
Japan,Confidence in national government,0.451348705
Jordan,Confidence in national government,0.666666667
Kazakhstan,Confidence in national government,0.15
Kenya,Confidence in national government,0
Kuwait,Confidence in national government,0.61937265
Kyrgyzstan,Confidence in national government,0.515319586
Laos,Confidence in national government,0.501616805
Latvia,Confidence in national government,0.4704765
Lebanon,Confidence in national government,0.484228518
Lesotho,Confidence in national government,0.519284725
Liberia,Confidence in national government,0.583333333
Libya,Confidence in national government,0.582322915
Lithuania,Confidence in national government,0.845
Luxembourg,Confidence in national government,0.488981667
Madagascar,Confidence in national government,0.760680518
Malawi,Confidence in national government,0.565812353
Malaysia,Confidence in national government,0.998947368
Mali,Confidence in national government,0.369326749
Malta,Confidence in national government,0.179908464
Mauritania,Confidence in national government,0.969
Mauritius,Confidence in national government,0.688155144
Mexico,Confidence in national government,0.8375
Moldova,Confidence in national government,0.930064162
Mongolia,Confidence in national government,0.946666667
Montenegro,Confidence in national government,0.526666667
Morocco,Confidence in national government,0.973
Mozambique,Confidence in national government,0.945294118
Myanmar,Confidence in national government,0.721650117
Namibia,Confidence in national government,0.775283584
Nepal,Confidence in national government,0.8
Netherlands,Confidence in national government,0.886637917
New Zealand,Confidence in national government,0.675826212
Nicaragua,Confidence in national government,0.904721373
Niger,Confidence in national government,0.786034421
Nigeria,Confidence in national government,0.672
North Macedonia,Confidence in national government,0.941666667
Norway,Confidence in national government,0.894444444
Oman,Confidence in national government,0.986666667
Pakistan,Confidence in national government,1
Panama,Confidence in national government,0.986666667
Papua New Guinea,Confidence in national government,0.9875
Paraguay,Confidence in national government,0.532295795
Peru,Confidence in national government,0.782715243
Philippines,Confidence in national government,0.965517241
Poland,Confidence in national government,0.554162068
Portugal,Confidence in national government,0.951666667
Qatar,Confidence in national government,0.456124038
Romania,Confidence in national government,1
Russia,Confidence in national government,0.810088952
Rwanda,Confidence in national government,0.555555556
Saudi Arabia,Confidence in national government,0.497601986
Senegal,Confidence in national government,0.854509354
Serbia,Confidence in national government,0.509404564
Seychelles,Confidence in national government,0.44
Sierra Leone,Confidence in national government,0.744444444
Singapore,Confidence in national government,0.424137931
Slovakia,Confidence in national government,0.766666667
Slovenia,Confidence in national government,0.583144983
Somalia,Confidence in national government,0.365095758
South Africa,Confidence in national government,0.8206
South Korea,Confidence in national government,0.596028487
South Sudan,Confidence in national government,0.555555556
Spain,Confidence in national government,1
Sri Lanka,Confidence in national government,0.520665527
Sudan,Confidence in national government,0.077
Suriname,Confidence in national government,0.055
Sweden,Confidence in national government,0.5
Switzerland,Confidence in national government,0.82820193
Syria,Confidence in national government,0.165808752
S�o Tom� and Pr�ncipe,Confidence in national government,0.739700506
Taiwan,Confidence in national government,0.948178793
Tajikistan,Confidence in national government,1
Tanzania,Confidence in national government,0.751373358
Thailand,Confidence in national government,0.991800809
The Gambia,Confidence in national government,0.8
Togo,Confidence in national government,1
Trinidad and Tobago,Confidence in national government,0.968421053
Tunisia,Confidence in national government,0.978685918
Turkey,Confidence in national government,0.874997624
Turkmenistan,Confidence in national government,0.679361105
Uganda,Confidence in national government,0.621134399
Ukraine,Confidence in national government,0.605844995
United Arab Emirates,Confidence in national government,0.811
United Kingdom,Confidence in national government,0.992561105
United States,Confidence in national government,0.928571429
Uruguay,Confidence in national government,0.728
Uzbekistan,Confidence in national government,0.962332928
Venezuela,Confidence in national government,0.820618958
Vietnam,Confidence in national government,0.882758621
Yemen,Confidence in national government,0.89544688
Zambia,Confidence in national government,0.926923077
Zimbabwe,Confidence in national government,0.71661311
Afghanistan,Conflict of interest regulation,0.698207969
Albania,Conflict of interest regulation,0.29974608
Algeria,Conflict of interest regulation,0.747948912
Angola,Conflict of interest regulation,0.591619888
Argentina,Conflict of interest regulation,0.677869302
Armenia,Conflict of interest regulation,0.755615496
Australia,Conflict of interest regulation,0.950831741
Austria,Conflict of interest regulation,0.478447005
Azerbaijan,Conflict of interest regulation,0.662538
Bahrain,Conflict of interest regulation,0.578414335
Bangladesh,Conflict of interest regulation,0.980740741
Belarus,Conflict of interest regulation,0.841533355
Belgium,Conflict of interest regulation,0.31053096
Belize,Conflict of interest regulation,0.543
Benin,Conflict of interest regulation,0.496882063
Bolivia,Conflict of interest regulation,0.866588218
Bosnia and Herzegovina,Conflict of interest regulation,0.501929463
Botswana,Conflict of interest regulation,0.534339587
Brazil,Conflict of interest regulation,0.237306746
Bulgaria,Conflict of interest regulation,0.764705882
Burkina Faso,Conflict of interest regulation,0
Burundi,Conflict of interest regulation,0.62129581
Cabo Verde,Conflict of interest regulation,0.702192339
Cambodia,Conflict of interest regulation,0.702192339
Cameroon,Conflict of interest regulation,0.079382661
Canada,Conflict of interest regulation,0.305012994
Central African Republic,Conflict of interest regulation,0.9768
Chad,Conflict of interest regulation,0.586727735
Chile,Conflict of interest regulation,0.408840467
China,Conflict of interest regulation,0.714285714
Colombia,Conflict of interest regulation,0.648607334
Comoros,Conflict of interest regulation,0.434418385
Congo,Conflict of interest regulation,0.252040239
Costa Rica,Conflict of interest regulation,0.586170753
Croatia,Conflict of interest regulation,0.998206155
Cuba,Conflict of interest regulation,0.68251885
Cyprus,Conflict of interest regulation,0.515856266
Czechia,Conflict of interest regulation,0.058425833
C�te d'Ivoire,Conflict of interest regulation,0.540598519
Democratic Republic of Congo,Conflict of interest regulation,0.449109636
Denmark,Conflict of interest regulation,0.474094809
Djibouti,Conflict of interest regulation,0.707299849
Dominican Republic,Conflict of interest regulation,0.490898638
Ecuador,Conflict of interest regulation,0.615936852
Egypt,Conflict of interest regulation,0.238567904
El Salvador,Conflict of interest regulation,0.690751332
Equatorial Guinea,Conflict of interest regulation,0.655132367
Eritrea,Conflict of interest regulation,0.298
Estonia,Conflict of interest regulation,0.223539418
Eswatini,Conflict of interest regulation,0.523179802
Ethiopia,Conflict of interest regulation,0.786775684
Finland,Conflict of interest regulation,0.264467256
France,Conflict of interest regulation,0.565330439
Gabon,Conflict of interest regulation,0.279342
Georgia,Conflict of interest regulation,0.151333333
Germany,Conflict of interest regulation,0.913908609
Ghana,Conflict of interest regulation,0.503
Greece,Conflict of interest regulation,0.62119
Guatemala,Conflict of interest regulation,0.117539824
Guinea,Conflict of interest regulation,0.52
Guinea-Bissau,Conflict of interest regulation,0.341674467
Guyana,Conflict of interest regulation,0.801410408
Haiti,Conflict of interest regulation,0.280891672
Honduras,Conflict of interest regulation,0.179731876
Hong Kong,Conflict of interest regulation,0
Hungary,Conflict of interest regulation,0
Iceland,Conflict of interest regulation,0.047619048
India,Conflict of interest regulation,0.333333333
Indonesia,Conflict of interest regulation,0.360558797
Iran,Conflict of interest regulation,0.636363636
Iraq,Conflict of interest regulation,0.433465165
Ireland,Conflict of interest regulation,0.301307158
Israel,Conflict of interest regulation,0.336956522
Italy,Conflict of interest regulation,0
Jamaica,Conflict of interest regulation,0.217261905
Japan,Conflict of interest regulation,0.375
Jordan,Conflict of interest regulation,0.873239437
Kazakhstan,Conflict of interest regulation,0.4375
Kenya,Conflict of interest regulation,0.154
Kuwait,Conflict of interest regulation,0
Kyrgyzstan,Conflict of interest regulation,0.166666667
Laos,Conflict of interest regulation,0.083
Latvia,Conflict of interest regulation,0
Lebanon,Conflict of interest regulation,0
Lesotho,Conflict of interest regulation,0
Liberia,Conflict of interest regulation,0.141304348
Libya,Conflict of interest regulation,0.023424658
Lithuania,Conflict of interest regulation,0.184782609
Luxembourg,Conflict of interest regulation,0.276923077
Madagascar,Conflict of interest regulation,0.2
Malawi,Conflict of interest regulation,0.5
Malaysia,Conflict of interest regulation,0
Mali,Conflict of interest regulation,0
Malta,Conflict of interest regulation,0.333333333
Mauritania,Conflict of interest regulation,0.5
Mauritius,Conflict of interest regulation,0.631032467
Mexico,Conflict of interest regulation,0.607361476
Moldova,Conflict of interest regulation,0.85
Mongolia,Conflict of interest regulation,1
Montenegro,Conflict of interest regulation,0.972292863
Morocco,Conflict of interest regulation,0.996067215
Mozambique,Conflict of interest regulation,0.971736191
Myanmar,Conflict of interest regulation,0.664348118
Namibia,Conflict of interest regulation,0.899973354
Nepal,Conflict of interest regulation,0
Netherlands,Conflict of interest regulation,0.844444444
New Zealand,Conflict of interest regulation,1
Nicaragua,Conflict of interest regulation,1
Niger,Conflict of interest regulation,1
Nigeria,Conflict of interest regulation,0.597427428
North Macedonia,Conflict of interest regulation,0.999637899
Norway,Conflict of interest regulation,0.1375
Oman,Conflict of interest regulation,0.025
Pakistan,Conflict of interest regulation,0.066666667
Panama,Conflict of interest regulation,0
Papua New Guinea,Conflict of interest regulation,0.932732526
Paraguay,Conflict of interest regulation,0.800196851
Peru,Conflict of interest regulation,0.808566475
Philippines,Conflict of interest regulation,0.86796317
Poland,Conflict of interest regulation,0.912519188
Portugal,Conflict of interest regulation,0.577547232
Qatar,Conflict of interest regulation,0.841333333
Romania,Conflict of interest regulation,0.32
Russia,Conflict of interest regulation,0.581818182
Rwanda,Conflict of interest regulation,0.671428571
Saudi Arabia,Conflict of interest regulation,0.26
Senegal,Conflict of interest regulation,0.753846154
Serbia,Conflict of interest regulation,0.8
Seychelles,Conflict of interest regulation,0.370076656
Sierra Leone,Conflict of interest regulation,0.331566051
Singapore,Conflict of interest regulation,0.341433763
Slovakia,Conflict of interest regulation,0.58
Slovenia,Conflict of interest regulation,0.82386339
Somalia,Conflict of interest regulation,0.433882353
South Africa,Conflict of interest regulation,0.5183
South Korea,Conflict of interest regulation,0.303291828
South Sudan,Conflict of interest regulation,0.671462488
Spain,Conflict of interest regulation,0.692799988
Sri Lanka,Conflict of interest regulation,0.423725692
Sudan,Conflict of interest regulation,0.434222243
Suriname,Conflict of interest regulation,0.379349394
Sweden,Conflict of interest regulation,0.433075792
Switzerland,Conflict of interest regulation,0.545493574
Syria,Conflict of interest regulation,0.4959049
S�o Tom� and Pr�ncipe,Conflict of interest regulation,0.553518857
Taiwan,Conflict of interest regulation,0.266640546
Tajikistan,Conflict of interest regulation,0.62260859
Tanzania,Conflict of interest regulation,0.933173084
Thailand,Conflict of interest regulation,0.412604968
The Gambia,Conflict of interest regulation,0.750892644
Togo,Conflict of interest regulation,0.648833333
Trinidad and Tobago,Conflict of interest regulation,0.711034483
Tunisia,Conflict of interest regulation,0.5003546
Turkey,Conflict of interest regulation,1
Turkmenistan,Conflict of interest regulation,0.52
Uganda,Conflict of interest regulation,0.875274331
Ukraine,Conflict of interest regulation,0.29075
United Arab Emirates,Conflict of interest regulation,0.910582
United Kingdom,Conflict of interest regulation,0.436453333
United States,Conflict of interest regulation,0.788486633
Uruguay,Conflict of interest regulation,0.05056373
Uzbekistan,Conflict of interest regulation,0.489517328
Venezuela,Conflict of interest regulation,0.618007406
Vietnam,Conflict of interest regulation,0.561614396
Yemen,Conflict of interest regulation,0.604301491
Zambia,Conflict of interest regulation,0.68
Zimbabwe,Conflict of interest regulation,0.269031882
Afghanistan,Conflict-driven internal displacement,0.590583333
Albania,Conflict-driven internal displacement,0.698637042
Algeria,Conflict-driven internal displacement,0.227912289
Angola,Conflict-driven internal displacement,0.484290445
Argentina,Conflict-driven internal displacement,0.666666667
Armenia,Conflict-driven internal displacement,0.429587228
Australia,Conflict-driven internal displacement,0.666666667
Austria,Conflict-driven internal displacement,0.550239254
Azerbaijan,Conflict-driven internal displacement,0.816375
Bahrain,Conflict-driven internal displacement,0.11
Bangladesh,Conflict-driven internal displacement,0.777777778
Belarus,Conflict-driven internal displacement,0.477028537
Belgium,Conflict-driven internal displacement,0.500107518
Belize,Conflict-driven internal displacement,0.766666667
Benin,Conflict-driven internal displacement,0.37733187
Bolivia,Conflict-driven internal displacement,0.499240875
Bosnia and Herzegovina,Conflict-driven internal displacement,0.533320911
Botswana,Conflict-driven internal displacement,0.527505449
Brazil,Conflict-driven internal displacement,0.405082602
Bulgaria,Conflict-driven internal displacement,0.512088476
Burkina Faso,Conflict-driven internal displacement,0.416666667
Burundi,Conflict-driven internal displacement,0.619226605
Cabo Verde,Conflict-driven internal displacement,0.157828291
Cambodia,Conflict-driven internal displacement,0.555555556
Cameroon,Conflict-driven internal displacement,0.48654546
Canada,Conflict-driven internal displacement,0.666666667
Central African Republic,Conflict-driven internal displacement,0.666666667
Chad,Conflict-driven internal displacement,0.666666667
Chile,Conflict-driven internal displacement,0.888888889
China,Conflict-driven internal displacement,0.5
Colombia,Conflict-driven internal displacement,0.190770388
Comoros,Conflict-driven internal displacement,0.664680354
Congo,Conflict-driven internal displacement,0.589912146
Costa Rica,Conflict-driven internal displacement,0.466162841
Croatia,Conflict-driven internal displacement,0.411089541
Cuba,Conflict-driven internal displacement,0.708223124
Cyprus,Conflict-driven internal displacement,0.666666667
Czechia,Conflict-driven internal displacement,0.85
C�te d'Ivoire,Conflict-driven internal displacement,0.666666667
Democratic Republic of Congo,Conflict-driven internal displacement,0.347095742
Denmark,Conflict-driven internal displacement,0.273841262
Djibouti,Conflict-driven internal displacement,0.503211235
Dominican Republic,Conflict-driven internal displacement,0.56818692
Ecuador,Conflict-driven internal displacement,0.448260177
Egypt,Conflict-driven internal displacement,0.277012944
El Salvador,Conflict-driven internal displacement,0.333333333
Equatorial Guinea,Conflict-driven internal displacement,0.326884905
Eritrea,Conflict-driven internal displacement,0.4425
Estonia,Conflict-driven internal displacement,0.820946755
Eswatini,Conflict-driven internal displacement,0.65718157
Ethiopia,Conflict-driven internal displacement,0.54
Finland,Conflict-driven internal displacement,0.991578947
France,Conflict-driven internal displacement,0.252811527
Gabon,Conflict-driven internal displacement,0.46453887
Georgia,Conflict-driven internal displacement,0.877
Germany,Conflict-driven internal displacement,0.410713219
Ghana,Conflict-driven internal displacement,0.75
Greece,Conflict-driven internal displacement,0.826611491
Guatemala,Conflict-driven internal displacement,0.937777778
Guinea,Conflict-driven internal displacement,0.653333333
Guinea-Bissau,Conflict-driven internal displacement,0.936
Guyana,Conflict-driven internal displacement,0.913529412
Haiti,Conflict-driven internal displacement,0.896003799
Honduras,Conflict-driven internal displacement,0.63199277
Hong Kong,Conflict-driven internal displacement,0.825
Hungary,Conflict-driven internal displacement,0.847504202
Iceland,Conflict-driven internal displacement,0.606774411
India,Conflict-driven internal displacement,0.819102214
Indonesia,Conflict-driven internal displacement,0.470895322
Iran,Conflict-driven internal displacement,0.672
Iraq,Conflict-driven internal displacement,0.953333333
Ireland,Conflict-driven internal displacement,0.843333333
Israel,Conflict-driven internal displacement,0.893333333
Italy,Conflict-driven internal displacement,1
Jamaica,Conflict-driven internal displacement,0.893333333
Japan,Conflict-driven internal displacement,0.9125
Jordan,Conflict-driven internal displacement,0.591814082
Kazakhstan,Conflict-driven internal displacement,0.338515227
Kenya,Conflict-driven internal displacement,0.517241379
Kuwait,Conflict-driven internal displacement,0.174175959
Kyrgyzstan,Conflict-driven internal displacement,0.31
Laos,Conflict-driven internal displacement,0.558316923
Latvia,Conflict-driven internal displacement,0.875
Lebanon,Conflict-driven internal displacement,0.560032765
Lesotho,Conflict-driven internal displacement,0.777777778
Liberia,Conflict-driven internal displacement,0.715833569
Libya,Conflict-driven internal displacement,0.47155714
Lithuania,Conflict-driven internal displacement,0.556984425
Luxembourg,Conflict-driven internal displacement,0.8
Madagascar,Conflict-driven internal displacement,0.777777778
Malawi,Conflict-driven internal displacement,0.772413793
Malaysia,Conflict-driven internal displacement,0.666666667
Mali,Conflict-driven internal displacement,0.490899205
Malta,Conflict-driven internal displacement,0.614058369
Mauritania,Conflict-driven internal displacement,0.836933333
Mauritius,Conflict-driven internal displacement,0.503188928
Mexico,Conflict-driven internal displacement,0.666666667
Moldova,Conflict-driven internal displacement,0.75
Mongolia,Conflict-driven internal displacement,0.451692224
Montenegro,Conflict-driven internal displacement,0.154
Morocco,Conflict-driven internal displacement,0.962
Mozambique,Conflict-driven internal displacement,0.5
Myanmar,Conflict-driven internal displacement,0.782408396
Namibia,Conflict-driven internal displacement,0.415630519
Nepal,Conflict-driven internal displacement,0.837739283
Netherlands,Conflict-driven internal displacement,0.956902474
New Zealand,Conflict-driven internal displacement,0.995951973
Nicaragua,Conflict-driven internal displacement,0.883092765
Niger,Conflict-driven internal displacement,0.9765299
Nigeria,Conflict-driven internal displacement,0.46
North Macedonia,Conflict-driven internal displacement,0.98658826
Norway,Conflict-driven internal displacement,0.768421053
Oman,Conflict-driven internal displacement,0.691025841
Pakistan,Conflict-driven internal displacement,0.506095945
Panama,Conflict-driven internal displacement,0.373274297
Papua New Guinea,Conflict-driven internal displacement,0.524810004
Paraguay,Conflict-driven internal displacement,0.270072467
Peru,Conflict-driven internal displacement,0.858
Philippines,Conflict-driven internal displacement,0.958554729
Poland,Conflict-driven internal displacement,0.889795918
Portugal,Conflict-driven internal displacement,0.724
Qatar,Conflict-driven internal displacement,0.671931956
Romania,Conflict-driven internal displacement,0.512319287
Russia,Conflict-driven internal displacement,0.803448276
Rwanda,Conflict-driven internal displacement,0.932546374
Saudi Arabia,Conflict-driven internal displacement,0.965384615
Senegal,Conflict-driven internal displacement,0.302422573
Serbia,Conflict-driven internal displacement,0.795045249
Seychelles,Conflict-driven internal displacement,0.677872628
Sierra Leone,Conflict-driven internal displacement,0.953182289
Singapore,Conflict-driven internal displacement,0.917702486
Slovakia,Conflict-driven internal displacement,0.407507925
Slovenia,Conflict-driven internal displacement,0.837213738
Somalia,Conflict-driven internal displacement,0.98313681
South Africa,Conflict-driven internal displacement,0.378147824
South Korea,Conflict-driven internal displacement,0.345134571
South Sudan,Conflict-driven internal displacement,0.367756943
Spain,Conflict-driven internal displacement,0.905166677
Sri Lanka,Conflict-driven internal displacement,0.657585983
Sudan,Conflict-driven internal displacement,0.509055524
Suriname,Conflict-driven internal displacement,0.622598803
Sweden,Conflict-driven internal displacement,0.711110799
Switzerland,Conflict-driven internal displacement,0.864411178
Syria,Conflict-driven internal displacement,0.603494715
S�o Tom� and Pr�ncipe,Conflict-driven internal displacement,0.132331053
Taiwan,Conflict-driven internal displacement,0.655494359
Tajikistan,Conflict-driven internal displacement,0.764705882
Tanzania,Conflict-driven internal displacement,0.197500634
Thailand,Conflict-driven internal displacement,0.471554577
The Gambia,Conflict-driven internal displacement,1
